"Run Number","Policy Number","Operation Description"
453739,2134561,"Transaction Pending"
453739,2144809,"Transaction Pending"
453739,2144817,"Transaction Pending"
453739,2145945,"Transaction Pending"
453739,2148642,"Transaction Pending"
453739,2160610,"Transaction Pending"
453739,5255602,"Possible Unit Discrepancu Under Investigation"
453739,5259712,"Possible Unit Discrepancu Under Investigation"
453739,5259712,"Transaction Pending"
453739,6217758,"Transaction Pending"
453739,6217920,"Transaction Pending"
453739,6322475,"Transaction Pending"
453739,8107128,"Transaction Pending"
453739,8108224,"Transaction Pending"
453739,8146627,"Possible Unit Discrepancu Under Investigation"
453739,8160517,"Transaction Pending"
453739,8192128,"Transaction Pending"
453739,8209848,"Transaction Pending"
453739,8228146,"Transaction Pending"
453739,8230898,"Transaction Pending"
453739,8245066,"Possible Unit Discrepancu Under Investigation"
453739,8273300,"Transaction Pending"
453739,8299087,"Transaction Pending"
453739,8336242,"Transaction Pending"
453739,8363983,"Transaction Pending"
453739,8369915,"Transaction Pending"
453739,8378280,"Transaction Pending"
453739,8383602,"Transaction Pending"
453739,8435785,"Transaction Pending"
453739,8472701,"Transaction Pending"
453739,8477496,"Transaction Pending"
453739,8486827,"Transaction Pending"
453739,8491693,"Transaction Pending"
453739,8509021,"Transaction Pending"
453739,8587373,"Transaction Pending"
453739,9829219,"Possible Unit Discrepancu Under Investigation"
453739,9854628,"Possible Unit Discrepancu Under Investigation"
